Date,Open,High,Low,Close,Volume
2020-06-30,1187.25,1260.75,1185.72,1260.75,227212194
2020-07-01,1261.54,1336.52,1261.54,1336.52,407352247
2020-07-02,1351.89,1362.35,1256.11,1256.11,476654971
2020-07-05,1256.18,1280.93,1246.8,1265.45,1033390231
2020-07-06,1266.08,1298.73,1259.94,1298.73,927841329
2020-07-07,1299.72,1345.96,1299.72,1336.66,1199041859
2020-07-08,1338.54,1343.59,1319.1,1326.53,1078462141
2020-07-09,1327.13,1333.25,1312.01,1331.27,908086197
2020-07-12,1331.31,1351.82,1331.31,1340.29,1111090272
2020-07-13,1342.59,1352.69,1334.17,1342.4,1088716118
2020-07-14,1344.42,1349.24,1340.66,1347.44,994545109
2020-07-15,1347.88,1367.82,1347.88,1362.34,1160491522
2020-07-16,1364.24,1395.82,1362.62,1394.77,1041770867
2020-07-19,1408.51,1479.03,1408.51,1479.03,62566293
2020-07-20,1539.37,1556.19,1460.15,1464.94,2802233715
2020-07-21,1472.19,1479.3,1444.5,1449.94,1872220447
2020-07-22,1452.78,1461.29,1429.65,1432.44,1532511716
2020-07-23,1434.08,1440.32,1417.32,1442.61,1327135218
2020-07-26,1445.6,1464.88,1444.77,1465.1,1942679380
2020-07-27,1467.89,1475.2,1456.47,1462.48,1793915286
2020-07-28,1463.81,1466.04,1449.86,1454.89,1259751557
2020-07-29,1452.07,1452.07,1431.46,1431.52,1687093091
2020-07-30,1433.14,1444.06,1421.07,1439.06,1320266678
2020-08-02,1441.26,1441.26,1396.02,1396.28,1841242332
2020-08-03,1395.08,1411.13,1384.86,1403.86,1290252213
2020-08-05,1403.88,1403.88,1374.13,1382.66,1189526408
2020-08-06,1387.44,1388.68,1365.66,1381.37,920997056
2020-08-09,1383.98,1392.68,1363.22,1392.68,977895525
2020-08-10,1394.78,1430.41,1394.34,1430.41,1555518923
2020-08-11,1433.35,1441.31,1421.17,1423.81,1271738914
2020-08-12,1426.55,1427.15,1413.55,1425.32,951960208
2020-08-13,1431.89,1431.89,1407.43,1408.79,1048911791
2020-08-16,1407.85,1407.85,1381.89,1391.46,1259320850
2020-08-17,1391.79,1402.21,1385.7,1402.21,1074932597
2020-08-18,1403.98,1414.29,1400.81,1407.89,1239017426
2020-08-19,1409.44,1409.44,1388.17,1391.29,976235059
2020-08-20,1392.89,1403.75,1392.89,1397.57,393129068
2020-08-23,1399.48,1410.34,1394.09,1410.34,1108053597
2020-08-24,1413.09,1431.6,1413.09,1431.6,2139202075
2020-08-25,1435.21,1440.94,1428.74,1440.94,1855180510
2020-08-26,1445.47,1468.03,1445.47,1462.03,2656163730
2020-08-27,1467.07,1472.73,1454.96,1458.04,1981761050
2020-08-30,1459.16,1462.67,1444.92,1462.67,1614554300
2020-08-31,1466.57,1489.01,1466.57,1484.99,3462586125
2020-09-02,1509.4,1519.78,1499.72,1510.57,4181036115
2020-09-03,1524.19,1524.67,1497.47,1510.42,2634886231
2020-09-06,1538.42,1538.42,1494.97,1499.97,2782377887
2020-09-07,1503.37,1503.37,1483.65,1487.81,2164930214
2020-09-08,1491.33,1500.15,1477.25,1495.15,1798363063
2020-09-09,1501.86,1511.93,1495.11,1508.2,2563415186
2020-09-10,1514.13,1532.48,1512.53,1520.69,2170068283
2020-09-13,1528.15,1537.25,1522.28,1537.25,3386859972
2020-09-14,1545.68,1553.56,1538.43,1540.51,3134135908
2020-09-15,1544.71,1548.35,1531.05,1536.03,1800197903
2020-09-16,1537.35,1543.98,1530.67,1541.4,1845634030
2020-09-17,1555.86,1577.99,1547.13,1572.18,3315664319
2020-09-20,1595.47,1605.12,1574.08,1575.18,2742795692
2020-09-21,1587.82,1587.99,1561.49,1569.06,2637376216
2020-09-22,1576.55,1577.19,1541.75,1546.15,2810425268
2020-09-23,1543.37,1555.52,1535.03,1555.52,1727821707
2020-09-24,1565.31,1565.31,1554.38,1561.27,2233489024
2020-09-27,1569.06,1575.43,1562.11,1565.55,3138243371
2020-09-28,1566.44,1569.31,1557.42,1560.83,1690154525
2020-09-29,1564.92,1564.92,1552.77,1553.62,1829872968
2020-09-30,1561.58,1563.4,1542.57,1550.43,1953636694
2020-10-01,1553.95,1572.94,1553.95,1571.04,2807708137
2020-10-04,1577.77,1588.05,1577.77,1585.75,3178853719
2020-10-05,1587.31,1594.89,1580.65,1582.12,2578607088
2020-10-06,1588.01,1588.01,1581.75,1586.29,2510585332
2020-10-07,1593.04,1602.14,1587.59,1600.97,3358506296
2020-10-08,1607.52,1614.04,1586.96,1589.63,2862712521
2020-10-11,1594.01,1594.36,1574.62,1576.27,2395432599
2020-10-12,1580.14,1580.8,1566.7,1578.01,1949060194
2020-10-13,1583.29,1584.28,1567.23,1568.59,1819638977
2020-10-14,1572.35,1573.08,1560.45,1561.17,1496387992
2020-10-15,1564.69,1579.55,1560.69,1562.46,1425890738
2020-10-18,1565.9,1567.89,1554.14,1556.8,1252748181
2020-10-19,1556.85,1570.38,1555.46,1570.38,954656107
2020-10-20,1576.62,1583.6,1573.06,1583.6,1271829990
2020-10-21,1591.04,1597.71,1588.78,1597.71,1633246148
2020-10-22,1609.11,1609.52,1596.22,1606.25,1994543919
2020-10-28,1612.5,1647.45,1612.37,1647.45,2725994069
2020-10-29,1661.64,1663.41,1640.48,1645.67,3037694845
2020-11-01,1654.15,1654.15,1634.63,1640.95,2930939007
2020-11-02,1644.01,1646.9,1635.64,1637.63,2453954688
2020-11-03,1636.2,1644.61,1635.15,1643.03,2237964572
2020-11-04,1645.53,1645.7,1638.69,1640.64,1757423745
2020-11-05,1644.94,1645.08,1634.38,1636.17,2842469177
2020-11-08,1643.29,1648.58,1637.8,1648.58,3526777261
2020-11-09,1648.75,1661.32,1648.75,1652.8,3699879726
2020-11-10,1660.37,1678.79,1659.18,1678.79,4096190256
2020-11-11,1681.82,1707.67,1681.82,1707.67,4099604742
2020-11-12,1713.71,1722.32,1702.7,1718.49,4256475891
2020-11-18,1714.86,1741.81,1708.87,1741.81,4791041649
2020-11-19,1750.42,1779.21,1750.42,1778.12,6116730071
2020-11-22,1791.21,1811.63,1761.75,1782.81,6878787665
2020-11-23,1789.35,1792.41,1772.11,1780.43,4762704611
2020-11-24,1790.19,1813.86,1786.71,1810.11,5442950189
2020-11-25,1820.87,1874.81,1820.87,1874.81,6817774994
2020-11-26,1894.78,1926.91,1879,1893.24,7613030091
2020-11-29,1912.11,1971.42,1912.11,1968.27,9227348348
2020-11-30,2000,2028.45,1971.24,1997.05,8867714682
2020-12-01,2009.46,2022.25,1966.18,2000.4,7404154007
2020-12-02,2016.82,2077.7,2016.82,2071.02,7463482972
2020-12-03,2090.79,2118.41,2040.99,2055.45,8026023798
2020-12-06,2051.51,2051.51,1932.11,1932.11,7209180213
2020-12-07,1929.46,2004.39,1914.42,2004.39,6667956831
2020-12-08,2033.97,2047.35,1982.07,1995.35,5719436384
2020-12-09,2006.4,2009.81,1948.98,1955.75,4745649292
2020-12-10,1954.6,1974.12,1938.92,1964.02,4146321050
2020-12-13,1973.75,2010.45,1967.44,2010.45,4899484131
2020-12-14,2022.72,2069.06,2022.72,2067.17,7204136923
2020-12-15,2085.56,2100.96,2050.9,2061.41,6069331687
2020-12-16,2097.2,2097.2,2041.85,2055.22,5144675578
2020-12-17,2058.72,2059.8,2025.19,2032.51,6769890815
2020-12-20,2046.57,2046.57,1935.4,1935.63,8612857317
2020-12-21,1919.05,1977.42,1874.07,1965.96,6698874354
2020-12-22,1987.47,2061.41,1987.47,2061.41,6740744432
2020-12-23,2094.27,2127.22,2063.13,2068.45,6862445215
2020-12-24,2091.59,2091.59,2025.65,2038.63,5369046322
2020-12-27,2047.12,2047.19,1994.8,1998.65,4623452312
2020-12-28,1998.81,2013.51,1981.5,2007.29,3850320045
2020-12-29,2016.26,2031.47,2009.38,2012.89,4092227802
2020-12-30,2023.59,2062.06,2023.4,2062.06,4446222579
2020-12-31,2079.37,2112.59,2073.8,2087.27,5703469837
2021-01-03,2104.85,2175.39,2104.85,2175.39,6344017889
